epoch,train_loss,dev_f1,dev_balanced_accuracy,dev_probability_threshold
1,0.17067601382732392,0.7777777777777778,0.7222222222222222,0.5
2,0.1593656837940216,0.8181818181818182,0.6666666666666666,0.5
3,0.14507609009742736,0.8181818181818182,0.6666666666666666,0.5
4,0.132974211871624,0.8181818181818182,0.6666666666666666,0.5
5,0.1126549482345581,0.8181818181818182,0.6666666666666666,0.45000000000000007
6,0.11150580495595933,0.8235294117647058,0.8055555555555556,0.55
7,0.0947746217250824,0.8235294117647058,0.8055555555555556,0.55
8,0.08381884545087814,0.8421052631578947,0.7777777777777777,0.35000000000000003
9,0.07084050700068474,0.8888888888888888,0.8611111111111112,0.45000000000000007
10,0.06788851842284202,0.8888888888888888,0.8611111111111112,0.4
11,0.05978541821241379,0.8421052631578947,0.7777777777777777,0.2
12,0.05814027562737465,0.8421052631578947,0.7777777777777777,0.2
13,0.051597440615296364,0.8421052631578947,0.7777777777777777,0.2
