epoch,train_loss,dev_f1,dev_balanced_accuracy,dev_probability_threshold
1,0.1714007509127259,0.782608695652174,0.5833333333333334,0.5
2,0.1573379934579134,0.8,0.6944444444444444,0.5
3,0.13601347090676427,0.8,0.6944444444444444,0.5
4,0.12815978281199933,0.8181818181818182,0.6666666666666666,0.45000000000000007
5,0.10153565593995154,0.8235294117647058,0.8055555555555556,0.55
6,0.07654198294039816,0.8421052631578947,0.7777777777777777,0.55
7,0.04812064050929621,0.875,0.8888888888888888,0.7000000000000002
8,0.0370993838540744,0.875,0.8888888888888888,0.7000000000000002
9,0.01963581596384756,0.8888888888888888,0.8611111111111112,0.8
10,0.012289411454694345,0.8888888888888888,0.8611111111111112,0.7500000000000002
11,0.0091337932125316,0.8421052631578947,0.7777777777777777,0.6000000000000001
12,0.006197651677357498,0.8421052631578947,0.7777777777777777,0.6000000000000001
13,0.0047942412432166745,0.8421052631578947,0.7777777777777777,0.6500000000000001
14,0.003850731783750234,0.8421052631578947,0.7777777777777777,0.6500000000000001
