epoch,train_loss,dev_f1,dev_probability_threshold
1,1.2283033579587936,0.24164524421593833,0.4
2,1.191761953490121,0.2661290322580645,0.5
3,1.2557664896760667,0.3088235294117647,0.55
4,1.2262685980115617,0.3026315789473685,0.55
5,1.1821708232164383,0.30158730158730157,0.55
6,1.1752663808209556,0.3076923076923077,0.6000000000000001
7,1.1358818773712431,0.3170731707317073,0.6000000000000001
8,1.1448765844106674,0.3076923076923077,0.55
9,1.1829132501568114,0.30769230769230765,0.7000000000000002
10,1.158825471997261,0.35443037974683544,0.6000000000000001
11,1.124945417046547,0.34210526315789475,0.55
12,1.1549154903207506,0.3548387096774194,0.55
13,1.0990523036037172,0.3773584905660377,0.6500000000000001
14,1.0739895946213178,0.44660194174757284,0.6000000000000001
15,1.0877846820013863,0.39999999999999997,0.6000000000000001
