epoch,train_loss,dev_f1,dev_balanced_accuracy,dev_probability_threshold
1,0.16227753420049945,0.782608695652174,0.5833333333333334,0.4
2,0.14213515433172386,0.782608695652174,0.5833333333333334,0.45000000000000007
3,0.13373797265812754,0.782608695652174,0.5833333333333334,0.45000000000000007
4,0.12069910938541094,0.8,0.6944444444444444,0.5
5,0.10993140313463906,0.782608695652174,0.5833333333333334,0.45000000000000007
6,0.10664663400190572,0.8181818181818182,0.6666666666666666,0.45000000000000007
7,0.08235345855355262,0.8181818181818182,0.6666666666666666,0.4
8,0.08033110386071106,0.8181818181818182,0.6666666666666666,0.35000000000000003
9,0.05539683022070676,0.8181818181818182,0.6666666666666666,0.35000000000000003
10,0.039016956312116234,0.8181818181818182,0.6666666666666666,0.30000000000000004
11,0.029244550090515985,0.8181818181818182,0.6666666666666666,0.35000000000000003
