epoch,train_loss,dev_f1,dev_probability_threshold
1,1.224555309410348,0.2379182156133829,0.5
2,1.2005279161261788,0.2809364548494983,0.5
3,1.145635269469384,0.4036697247706422,0.55
4,1.1155051433001504,0.41666666666666663,0.6000000000000001
5,1.0413946807158716,0.5517241379310345,0.55
6,1.016773575375026,0.654867256637168,0.5
7,0.8601512234093565,0.6857142857142857,0.7000000000000002
8,0.7651943089496909,0.8043478260869567,0.8
9,0.5777914337136528,0.8571428571428571,0.7500000000000002
10,0.5275199059284095,0.9523809523809524,0.7500000000000002
11,0.30014087779052334,0.9904761904761905,0.7000000000000002
12,0.3143312680337465,0.9541284403669724,0.8
13,0.3015590073710138,0.970873786407767,0.55
14,0.23237859822358148,0.9541284403669724,0.7000000000000002
15,0.12451327268429326,1.0,0.6500000000000001
