sample_id,who,watch_from,watch_until,youtube_url,start_sec,end_sec
gold_001,LEFT,0:55,1:55,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,1:29,1:29
gold_001,LEFT,0:55,1:55,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,1:54,1:55
gold_001,LEFT,0:55,1:55,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,,
gold_001,LEFT,0:55,1:55,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,,
gold_001,LEFT,0:55,1:55,https://www.youtube.com/watch?v=IH6KWbTogT0&t=55,,
gold_002,LEFT,1:11,2:11,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,,
gold_002,LEFT,1:11,2:11,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,1:23,1:24
gold_002,LEFT,1:11,2:11,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,1:33,1:35
gold_002,LEFT,1:11,2:11,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,,
gold_002,LEFT,1:11,2:11,https://www.youtube.com/watch?v=P4ul1tuvi9c&t=71,2:05,2:06
gold_003,LEFT,2:31,3:31,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,,
gold_003,LEFT,2:31,3:31,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,,
gold_003,LEFT,2:31,3:31,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,,
gold_003,LEFT,2:31,3:31,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,,
gold_003,LEFT,2:31,3:31,https://www.youtube.com/watch?v=xkHwlcDSOjc&t=150,,
gold_004,LEFT,11:41,12:41,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,,
gold_004,LEFT,11:41,12:41,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,12:08,12:09
gold_004,LEFT,11:41,12:41,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,12:16,12:17
gold_004,LEFT,11:41,12:41,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,12:36,12:38
gold_004,LEFT,11:41,12:41,https://www.youtube.com/watch?v=RzIxWA-ll8g&t=701,,
gold_005,LEFT,0:48,1:48,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,,
gold_005,LEFT,0:48,1:48,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,,
gold_005,LEFT,0:48,1:48,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,,
gold_005,LEFT,0:48,1:48,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,,
gold_005,LEFT,0:48,1:48,https://www.youtube.com/watch?v=D8K1AAxkg0g&t=47,,
gold_006,RIGHT,27:02,28:02,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,27:25,27:26
gold_006,RIGHT,27:02,28:02,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,27:58,27:59
gold_006,RIGHT,27:02,28:02,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,,
gold_006,RIGHT,27:02,28:02,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,,
gold_006,RIGHT,27:02,28:02,https://www.youtube.com/watch?v=niEsUBm1l98&t=1622,,
gold_007,RIGHT,21:10,22:10,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,,
gold_007,RIGHT,21:10,22:10,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,21:13,21:13
gold_007,RIGHT,21:10,22:10,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,21:42,21:42
gold_007,RIGHT,21:10,22:10,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,,
gold_007,RIGHT,21:10,22:10,https://www.youtube.com/watch?v=wrhnUxQrx8g&t=1270,,
gold_008,RIGHT,12:34,13:34,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,13:10,13:11
gold_008,RIGHT,12:34,13:34,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,,
gold_008,RIGHT,12:34,13:34,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,,
gold_008,RIGHT,12:34,13:34,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,,
gold_008,RIGHT,12:34,13:34,https://www.youtube.com/watch?v=sfUBZaWn2f8&t=754,,
gold_009,RIGHT,2:04,3:04,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,,
gold_009,RIGHT,2:04,3:04,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,3:04,3:04
gold_009,RIGHT,2:04,3:04,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,,
gold_009,RIGHT,2:04,3:04,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,,
gold_009,RIGHT,2:04,3:04,https://www.youtube.com/watch?v=GJtqigeWHV8&t=123,,
gold_010,RIGHT,1:28,2:28,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,2:19,2:20
gold_010,RIGHT,1:28,2:28,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,2:22,2:23
gold_010,RIGHT,1:28,2:28,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,,
gold_010,RIGHT,1:28,2:28,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,,
gold_010,RIGHT,1:28,2:28,https://www.youtube.com/watch?v=jg6y3LABwTs&t=88,,
gold_011,LEFT,1:22,2:22,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,1:46,1:47
gold_011,LEFT,1:22,2:22,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,1:50,1:51
gold_011,LEFT,1:22,2:22,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,,
gold_011,LEFT,1:22,2:22,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,,
gold_011,LEFT,1:22,2:22,https://www.youtube.com/watch?v=FzCjvLU7u7Q&t=81,,
gold_012,LEFT,6:08,7:08,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,,
gold_012,LEFT,6:08,7:08,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,6:21,6:22
gold_012,LEFT,6:08,7:08,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,,
gold_012,LEFT,6:08,7:08,https://www.youtube.com/watch?v=6RDkdbgzeAI&t=368,,
