sample_id,video_id,rule_score,pseudo_label
pseudo_00001,PyUSAycJHYY,11.936178228516155,1
pseudo_00002,EYq10SpLKb4,38.3850078604995,1
pseudo_00003,cDXtKSnAEQs,23.90307096445762,1
pseudo_00004,fosfLImKexU,12.176983678257585,1
pseudo_00005,T5BWozYHHWI,36.58015055311877,1
pseudo_00006,vWFCAiWvz-g,16.392773646019048,1
pseudo_00007,jVcbcgUWumE,28.570711557126074,1
pseudo_00008,DZ9QCoCRRtY,35.910443545464695,1
pseudo_00009,pSgpP1b0rHo,30.524268908378495,1
pseudo_00010,QzVs-z3A4mc,12.57629694860858,1
pseudo_00011,rwx5n0WfXCo,25.17355941697997,1
pseudo_00012,eZHx_biEECg,40.19051092988139,1
pseudo_00013,O98D2Tlgs-E,29.76868238093423,1
pseudo_00014,H_xMzAWWsNU,36.553344641318915,1
pseudo_00015,tNV8Dq88JFI,25.496959819521443,1
pseudo_00016,GKG2u7T1w2Y,31.740049494174347,1
pseudo_00017,jZdqe7X4IZ4,21.794008999715665,1
pseudo_00018,Q0WUgyqQ-4I,48.805700106498676,1
pseudo_00019,L1jJn9KNjws,17.094087992514808,1
pseudo_00020,xHRe-mZsu8M,17.966603212423312,1
pseudo_00021,MkV7LSXtzkQ,31.473133157183327,1
pseudo_00022,GW-cYEzShmY,25.42280293173557,1
pseudo_00023,qiqRKp3-rxc,28.22844615043746,1
pseudo_00024,IhWJ47-ueiw,47.24763760644531,1
pseudo_00025,6tswigYQxag,41.15725904077929,1
pseudo_00026,8PlPyrKM4cs,18.676579622122013,1
pseudo_00027,Fvsyr_nCpAw,35.090582536372935,1
pseudo_00028,zIhDJWOjfCI,43.29790854898657,1
pseudo_00029,p4ZNy6tbiiU,24.202866662936334,1
pseudo_00030,rRCPKtLSef4,42.15212423373504,1
pseudo_00031,epAwpBdUiYU,6.275029296641601,0
pseudo_00032,0_rZe8PJo-o,29.86080750996703,1
pseudo_00033,UTkuDYOIxKo,23.041168304034386,1
pseudo_00034,WQCx6AS53Wc,22.38594768667005,1
pseudo_00035,MJueiM5zCxs,31.842791765164165,1
pseudo_00036,vI2hfZ3hGDM,22.571624799208273,1
pseudo_00037,mVt6myGMa-0,33.71352989676403,1
pseudo_00038,ayQLGgHx3co,18.724234086372412,1
pseudo_00039,uLE1b45zAN0,23.420405621712092,1
pseudo_00040,0e0e4tE42oY,12.969094575424055,1
pseudo_00041,ftU60Qmh-pE,32.19821054118506,1
pseudo_00042,NAqVRJuZMD8,37.16332107490604,1
pseudo_00043,Q0u2BSEimEo,5.730271215205443,0
pseudo_00044,mU4XNYhEJNY,10.494951762797424,0
pseudo_00045,DxrVhhxyxlM,39.897414045178365,1
pseudo_00046,sCdn0hyfxYw,23.27356836345653,1
pseudo_00047,qULqdIzvE-o,56.23841188559738,1
pseudo_00048,3kzx1BBJYDw,41.72402679114365,1
pseudo_00049,fJ2BOxlucBQ,11.899683142041859,1
pseudo_00050,MLz-8ghlWUE,41.84041823540546,1
pseudo_00051,e-XXxjlOOB8,35.11301891509203,1
pseudo_00052,YzPThnV66Pk,26.124177768791824,1
pseudo_00053,96_F4gCW2eg,20.580789755482833,1
pseudo_00054,2XWkpFoQn_E,28.548689091400195,1
pseudo_00055,qLfPQzNx-8s,32.9505519275066,1
pseudo_00056,k39nedJ6B5U,31.216670357819844,1
pseudo_00057,eiqEXQrOuIU,14.804371545920601,1
pseudo_00058,RbTQXe1Wjxw,39.31481294920962,1
pseudo_00059,wxp8uTNhvs0,44.12416320413989,1
pseudo_00060,A0HmdHU7Jms,22.207119630489103,1
pseudo_00061,v-qTIR5vxWs,42.35301308837538,1
pseudo_00062,GVsoOyn12Ck,29.68595912684381,1
pseudo_00063,c7NcnrOec5Y,46.02539039825239,1
pseudo_00064,NQEgTcXzwtY,12.660115493761113,1
pseudo_00065,eIEBI2_Y14Q,38.62680982737563,1
pseudo_00066,9o-81SSaXcI,21.614824414531178,1
pseudo_00067,EgeWk8MSGdU,24.569593511817136,1
pseudo_00068,vAVBZSgXeeo,27.324528210090946,1
pseudo_00069,87bpWKdM100,29.56398437517793,1
pseudo_00070,lLrPmgnL1AY,30.838516003046372,1
pseudo_00071,qSymgMQuVaM,4.934064959468973,0
pseudo_00072,Ot-d-PmuhOY,26.93538329651313,1
pseudo_00073,jOVEs-4r1jc,43.879910755824504,1
pseudo_00074,-uaFgyxn2kw,8.400951090114681,0
pseudo_00075,N91omgpkthA,12.132006260064966,1
pseudo_00076,p99cIB7nHjw,23.520652686521515,1
pseudo_00077,r-ts8-sJVko,32.57045612802048,1
pseudo_00078,yWUk1fDbAI4,27.197024343175016,1
pseudo_00079,OrOZuWk9FH4,12.93298698861008,1
pseudo_00080,A4jnhOZK8iY,24.858029662312404,1
