sample_id,video_id,pseudo_label,rule_score,score_x,score_y,score_z,ptp_x,ptp_y,ptp_z,hard_neg_rank,neg_type_nod,neg_type_turn,neg_type_mid,static_low_motion,track,n_each,shake_axis
pseudo_00001,PyUSAycJHYY,0,24.485804404412193,28.425736859406157,24.485804404412193,11.936178228516157,37.872106075286865,40.677499771118164,21.814022064208984,3.4876448674496525,0,0,1,0,all,40,y
pseudo_00002,EYq10SpLKb4,0,28.264430266160314,32.915957593695644,28.264430266160314,38.3850078604995,55.82072067260742,40.180721282958984,46.21391487121582,7.530063182351752,1,0,1,0,all,40,y
pseudo_00005,T5BWozYHHWI,0,22.61286426424153,24.58811304341392,22.61286426424153,36.58015055311876,32.04929828643799,35.97728443145752,49.94398498535156,3.425767552591427,0,0,1,0,all,40,y
pseudo_00006,vWFCAiWvz-g,0,13.398854699168211,36.49186756428871,13.398854699168211,16.392773646019048,42.310686111450195,20.743561923503876,19.52024555206299,5.468636485260406,1,0,0,0,all,40,y
pseudo_00007,jVcbcgUWumE,0,20.44493745444544,13.24965208338139,20.44493745444544,28.570711557126074,18.68024492263794,21.160678148269653,48.10494804382324,3.2382999115751625,0,0,1,0,all,40,y
pseudo_00010,QzVs-z3A4mc,0,14.894990508095136,59.20949937469216,14.894990508095136,12.57629694860858,59.30617141723633,19.412777423858643,23.53415584564209,5.689158880866215,1,0,0,0,all,40,y
pseudo_00012,eZHx_biEECg,0,38.49045303873815,24.518930838380452,38.49045303873815,40.19051092988139,39.606101989746094,40.90060043334961,44.45083427429199,3.4496923105505526,0,0,1,0,all,40,y
pseudo_00019,L1jJn9KNjws,0,13.536280024579673,12.742016655442912,13.536280024579673,17.094087992514815,16.882400274276733,18.55039691925049,29.52058219909668,1.2201721511506816,0,0,0,0,all,40,y
pseudo_00020,xHRe-mZsu8M,0,17.032627429717678,27.99188845752289,17.032627429717678,17.966603212423312,37.59919452667236,23.62937366962433,31.7034912109375,1.3980657529233507,0,0,0,0,all,40,y
pseudo_00025,6tswigYQxag,0,38.73625847488862,32.070617638823684,38.73625847488862,41.15725904077929,37.331021308898926,63.20511054992676,43.42562484741211,7.63673172913787,1,0,1,0,all,40,y
pseudo_00026,8PlPyrKM4cs,0,29.807908062491055,16.986047049988727,29.807908062491055,18.676579622122013,49.00053024291992,53.63411903381348,38.26387405395508,3.4380310656689548,0,0,1,0,all,40,y
pseudo_00029,p4ZNy6tbiiU,0,36.117097866840965,78.6979115181594,36.117097866840965,24.202866662936337,78.6060905456543,49.20847511291504,35.5754337310791,8.033021490746169,1,0,1,0,all,40,y
pseudo_00031,epAwpBdUiYU,0,12.79229753412013,22.872125066521633,12.79229753412013,6.275029296641602,38.81107139587402,17.728614807128906,9.649032354354858,1.3173643247008608,0,0,0,0,all,40,y
pseudo_00036,vI2hfZ3hGDM,0,26.434173094920702,32.32502943541352,26.434173094920702,22.571624799208276,38.07590985298157,62.69962501525879,39.36404895782471,10.636748419430429,1,1,1,0,all,40,y
pseudo_00038,ayQLGgHx3co,0,13.441232433408052,28.168220485562852,13.441232433408052,18.724234086372416,35.93989849090576,31.778687477111816,49.371267318725586,1.4405756422411875,0,0,0,0,all,40,y
pseudo_00039,uLE1b45zAN0,0,28.131053628899366,23.658988786466264,28.131053628899366,23.420405621712096,31.720210075378418,32.51267051696777,33.91132354736328,3.3991532404495013,0,0,1,0,all,40,y
pseudo_00040,0e0e4tE42oY,0,12.739698866447405,23.123526067444843,12.739698866447405,12.969094575424055,41.6541748046875,20.0283203125,14.585090160369873,1.3313768622369486,0,0,0,0,all,40,y
pseudo_00043,Q0u2BSEimEo,0,7.1593609478646165,7.547148037623714,7.1593609478646165,5.730271215205443,12.418373584747314,15.312891006469727,9.103774070739746,1.1520359354085856,0,0,0,0,all,40,y
pseudo_00044,mU4XNYhEJNY,0,15.217701751243863,11.900573250852855,15.217701751243863,10.494951762797424,15.545448780059814,20.01890468597412,19.927448272705078,1.2191002559383992,0,0,0,0,all,40,y
pseudo_00045,DxrVhhxyxlM,0,21.02870230241261,37.98574093838683,21.02870230241261,39.897414045178365,44.44567446783185,64.34701538085938,42.872623443603516,10.701592486288165,1,1,1,0,all,40,y
pseudo_00046,sCdn0hyfxYw,0,15.308725077789193,30.446541489447213,15.308725077789193,23.27356836345653,35.962522983551025,18.82550483942032,30.450624465942383,1.3985929390915737,0,0,0,0,all,40,y
pseudo_00049,fJ2BOxlucBQ,0,16.87244690111507,11.755502718589836,16.87244690111507,11.899683142041862,23.352976083755493,26.471421718597412,16.27998447418213,1.2499121357788854,0,0,0,0,all,40,y
pseudo_00050,MLz-8ghlWUE,0,25.936328627846535,49.73293792840221,25.936328627846535,41.840418235405465,57.09804725646973,34.46685218811035,38.646546363830566,7.669663640224574,1,0,1,0,all,40,y
pseudo_00051,e-XXxjlOOB8,0,29.92598300547042,53.023538789549235,29.92598300547042,35.11301891509202,58.896610260009766,42.689857482910156,43.91340446472168,7.7436846753100435,1,0,1,0,all,40,y
pseudo_00052,YzPThnV66Pk,0,26.932652982520693,38.980839478108265,26.932652982520693,26.124177768791828,41.22953224182129,36.786075592041016,43.82770919799805,7.573738772741288,1,0,1,0,all,40,y
