epoch,train_loss,dev_f1_nod,dev_f1_shake,dev_f1_mean,dev_threshold_nod,dev_threshold_shake
1,0.25957552790641786,0.75,0.8,0.775,0.2,0.2
2,0.25367040634155275,0.8181818181818182,0.8,0.8090909090909091,0.5,0.2
3,0.24869193136692047,0.8235294117647058,0.8,0.8117647058823529,0.5,0.2
4,0.24740491509437562,0.8181818181818182,0.8,0.8090909090909091,0.45000000000000007,0.2
5,0.24359131455421448,0.8421052631578947,0.8,0.8210526315789474,0.45000000000000007,0.2
6,0.237254336476326,0.8421052631578947,0.8181818181818182,0.8301435406698565,0.45000000000000007,0.5
7,0.23861762881278992,0.8181818181818182,0.8,0.8090909090909091,0.4,0.2
8,0.2294015794992447,0.8571428571428571,0.8181818181818182,0.8376623376623377,0.4,0.5
9,0.2227354973554611,0.8571428571428571,0.8181818181818182,0.8376623376623377,0.4,0.5
10,0.22829951345920563,0.875,0.8333333333333334,0.8541666666666667,0.45000000000000007,0.45000000000000007
11,0.2191285490989685,0.875,0.8333333333333334,0.8541666666666667,0.45000000000000007,0.45000000000000007
12,0.21861198544502258,0.875,0.8333333333333334,0.8541666666666667,0.45000000000000007,0.45000000000000007
13,0.20495713651180267,0.875,0.8181818181818182,0.8465909090909092,0.45000000000000007,0.5
14,0.20066789537668228,0.875,0.8181818181818182,0.8465909090909092,0.45000000000000007,0.45000000000000007
15,0.19989273250102996,0.875,0.8181818181818182,0.8465909090909092,0.45000000000000007,0.5
16,0.1922060012817383,0.875,0.8181818181818182,0.8465909090909092,0.45000000000000007,0.5
17,0.186102432012558,0.8571428571428571,0.8333333333333334,0.8452380952380952,0.30000000000000004,0.4
18,0.18879884481430054,0.8571428571428571,0.8181818181818182,0.8376623376623377,0.30000000000000004,0.45000000000000007
